scheme_name,returns_5yr,predicted_5yr
Mirae Asset Dynamic Bond Fund,7.2,8.120652
ICICI Pru Regular Savings Fund,9.0,8.10616
AXIS Gilt Fund,7.9,8.09972
SBI Magnum Gilt Fund,8.3,8.058916
UTI-Retirement Benefit Pension Plan – Direct,7.5,8.056083
PGIM India Equity Savings Fund,8.0,8.048023
LIC MF G-Sec Fund,7.7,8.033392
Invesco India Dynamic Equity Fund,7.4,8.012979
Kotak Dynamic Bond Fund,7.8,8.005018
PGIM India Hybrid Equity Fund,9.0,7.990492
Aditya Birla SL Equity Hybrid ’95 Fund,7.7,7.9681873
Edelweiss Govt Securities Fund,8.2,7.9380507
AXIS Dynamic Bond Fund,7.7,7.927718
IDBI Hybrid Equity Fund,7.0,7.902366
ICICI Pru All Seasons Bond Fund,8.2,7.8920116
Aditya Birla SL Floating Rate Fund,6.8,7.891285
Nippon India Corporate Bond Fund,7.0,7.872426
Franklin India G-Sec Fund,6.3,7.8706956
Bank of India Conservative Hybrid Fund,6.4,7.8392124
DSP Dynamic Asset Allocation Fund,8.3,7.8373218
PGIM India Gilt Fund,7.0,7.8335414
UTI-Unit Linked Insurance Plan – Direct,6.2,7.8017187
AXIS Banking & PSU Debt Fund,7.2,7.7972527
Shriram Hybrid Equity Fund,8.9,7.7820053
Aditya Birla SL Regular Savings Fund,7.6,7.7621574
Canara Robeco Gilt Fund,7.0,7.7571754
Tata Retirement Savings Fund,7.1,7.726897
Baroda BNP Paribas Gilt Fund,6.8,7.6913986
AXIS Strategic Bond Fund,7.4,7.6827474
Aditya Birla SL Govt Securities Fund,8.0,7.6723146
HSBC Gilt Fund,7.1,7.669739
UTI-Ultra Short Term Fund,5.7,7.661743
ICICI Pru Ultra Short Term Fund,6.7,7.6610622
Franklin India Debt Hybrid Fund,7.0,7.655453
Edelweiss Banking & Psu Debt Fund,7.9,7.648884
Mirae Asset Short Term Fund,6.7,7.644025
DSP Equity & Bond Fund,10.7,7.643543
Aditya Birla SL Dynamic Bond Fund,6.0,7.6311913
Nippon India Dynamic Bond Fund,6.7,7.629775
Aditya Birla SL Banking&PSU Debt Fund,7.3,7.619392
ICICI Pru Corporate Bond Fund,7.3,7.6150436
Motilal Oswal Balance Advantage Fund,5.6,7.6123657
HSBC Balanced Advantage Fund,8.0,7.545495
HSBC Dynamic Bond Fund,6.8,7.509736
Nippon India Short Term Fund,7.2,7.506825
SBI Liquid Fund,5.3,7.4725633
AXIS Equity Saver Fund,8.8,7.470664
Franklin India Corporate Debt Fund,7.0,7.4472437
Aditya Birla SL Savings Fund,6.5,7.4187465
PGIM India Corporate Bond Fund,6.9,7.4151497
ICICI Pru Banking & PSU Debt Fund,7.2,7.413767
Nippon India USD Fund,5.9,7.4107037
Sundaram Ultra Short Duration Fund,4.5,7.4017305
DSP G-Sec Fund,8.6,7.3871574
SBI Dynamic Bond Fund,7.9,7.3745217
Canara Robeco Dynamic Bond Fund,6.6,7.369565
Canara Robeco Corporate Bond Fund,6.7,7.360035
HSBC Banking and PSU Debt Fund,6.5,7.324645
PGIM India Dynamic Bond Fund,7.4,7.3221326
Nippon India Hybrid Bond Fund,3.4,7.3153768
Aditya Birla SL Corporate Bond Fund,7.4,7.26385
Nippon India GSF – Direct Growth,8.3,7.262707
JM Dynamic Bond Fund,6.1,7.2387238
UTI-Regular Savings Fund,7.2,7.228989
HDFC Corporate Bond Fund,7.3,7.197789
Nippon India Floating Rate Fund,7.1,7.196474
Sundaram Corporate Bond Fund,7.3,7.18445
Kotak Banking and PSU Debt Fund,7.5,7.1654615
ICICI Pru Medium Term Bond Fund,7.6,7.148231
Aditya Birla SL Income Fund,7.7,7.126524
Mahindra Manulife Low Duration Fund,6.4,7.1263165
Nippon India Retirement Fund,7.4,7.1187506
HSBC Corporate Bond Fund,7.6,7.1033316
HDFC Floating Rate Debt Fund,6.9,7.0752726
AXIS Regular Saver Fund,7.0,7.066201
Bank of India Balanced Advantage Fund,5.1,7.04295
DSP Strategic Bond Fund,7.3,7.0335073
SBI Banking and PSU Fund,7.0,7.0273476
UTI-Short Term Income Fund,5.4,7.0142393
UTI-Gilt Fund,7.3,6.9996414
Indiabulls Short Term Fund,5.9,6.9961033
LIC MF Banking & PSU Debt Fund,6.8,6.986268
Quantum Dynamic Bond Fund,6.9,6.9681034
Navi Regular Savings Fund,6.5,6.96581
DSP Banking & Psu Debt Fund,6.9,6.9552717
HSBC Aggressive Hybrid Fund,8.1,6.951836
HSBC Flexi Debt Fund,13.3,6.94149
PGIM India Banking&PSU Debt Fund,7.1,6.939289
Kotak Corporate Bond Fund,7.1,6.930572
HDFC Gilt Fund,6.4,6.921566
Tata Gilt Securities Fund,6.9,6.903078
Invesco India Banking & PSU Debt Fund,6.4,6.8963423
Baroda BNP Paribas Conservative Hybrid Fund,7.7,6.886115
Invesco India Corporate Bond Fund,6.9,6.8775606
Aditya Birla SL Equity Savings Fund,6.9,6.86792
Baroda BNP Paribas Dynamic Bond Fund,6.6,6.8636446
Tata Money Market Fund,4.8,6.8531494
Kotak Savings Fund,6.2,6.8528376
ICICI Pru Short Term Fund,7.7,6.8185377
UTI-Bond Fund,4.4,6.8036494
Baroda BNP Paribas Corporate Bond Fund,4.4,6.7940407
HDFC Hybrid Debt Fund,8.4,6.783613
HDFC Dynamic Debt Fund,6.1,6.7822714
SBI Magnum Income Fund,7.8,6.777955
Aditya Birla SL Money Manager Fund,6.4,6.760769
HDFC Banking and PSU Debt Fund,7.2,6.7535663
Nippon India Equity Savings Fund,1.3,6.744713
Nippon India Money Market Fund,6.3,6.733921
AXIS Short Term Fund,7.4,6.7297544
Franklin India Banking & PSU Debt Fund,7.2,6.729469
UTI-Overnight Fund,4.6,6.726705
Aditya Birla SL Short Term Fund,7.6,6.7134857
Kotak Medium Term Fund,6.6,6.703734
Aditya Birla SL Low Duration Fund,7.0,6.690894
HDFC Short Term Debt Fund,7.3,6.6878843
Kotak Equity Arbitrage Fund,5.6,6.665226
Invesco India Gilt Fund,6.7,6.659572
DSP Ultra Short Fund,5.5,6.65393
UTI-Dynamic Bond Fund,6.3,6.645626
